#SN,zhel,tmax(B),+/-_x,ref.,Dm15,+/-.1_x,ref..1,M_B,+/-.2_x,B-V,+/-.3_x,Bm-Vm,+/-.4_x,Phot.,ref..2,n_spec,RA,DEC,z_CMB,+/-_y,m_B,+/-.1_y,x_1,+/-.2_y,c,+/-.3_y,mu,+/-.4_y
2001cp,0.0224,52088.4,0.1,"B,M,SA,SN",0.88,0.03,B,-19.63,0.08,-0.15,0.04,-0.15,0.04,"CfA3,Gan10",,8.0,257.76075,5.840777777777778,0.022000000000000002,0.001,15.11,0.17600000000000002,-1.851,1.162,-0.341,0.106,35.204,0.39399999999999996
2001da,0.0172,52106.5,1.3,"B,M,SA,SN",1.12,0.03,B,-19.29,0.07,-0.08,0.04,-0.02,0.04,"CfA3,Gan10",,7.0,358.3865833333333,8.11738888888889,0.016,0.001,15.366,0.034,-4.263,0.815,0.033,0.036000000000000004,34.284,0.267
2001eh,0.0371,52169.5,0.3,"B,M,SA",0.92,0.06,B,-19.64,0.08,-0.09,0.04,-0.09,0.04,CfA3,,16.0,24.550416666666663,41.65522222222222,0.036000000000000004,0.001,16.572,0.013999999999999999,1.159,0.11199999999999999,0.016,0.013000000000000001,36.095,0.18
2001en,0.0164,52191.9,1.2,"B,M,SA,SN",1.12,0.07,B,-19.32,0.09,-0.09,0.06,-0.07,0.07,"CfA3,Gan10",,9.0,21.345416666666665,34.02513888888889,0.015,0.001,15.062000000000001,0.047,-1.13,0.18600000000000003,0.085,0.025,34.176,0.252
2001ep,0.013,52199.6,0.5,"B,M,SA,SN",1.3,0.06,B,-19.27,0.07,-0.1,0.04,-0.07,0.05,CfA3,,23.0,74.25108333333333,-4.761166666666667,0.013000000000000001,0.001,14.869000000000002,0.012,-1.2,0.138,0.132,0.012,33.859,0.268
2001ex,0.0264,52204.1,0.5,"B,M",1.56,0.12,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,1.0,103.99954166666666,55.40083333333333,,,,,,,,,,
2001fe,0.0134,52229.2,0.1,"B,M,SA,SN",1.0,0.07,B,-19.5,0.07,-0.08,0.05,-0.07,0.05,CfA3,,12.0,144.48791666666662,25.494805555555555,0.013999999999999999,0.001,14.636,0.017,0.36,0.136,0.015,0.015,34.078,0.254
2001fh,0.0123,52223.8,0.1,"B,M,SA,SN",1.51,0.08,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Gan10",,6.0,320.17708333333326,44.398111111111106,0.011000000000000001,0.001,14.199000000000002,0.021,-2.503,0.301,-0.033,0.021,33.463,0.294
2001gc,0.0193,52243.9,2.0,BSNIP,9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,9.0,88.85891666666666,51.9095,,,,,,,,,,
2002G,0.0338,52299.1,1.4,"B,M,SA,SN",1.25,0.04,B,-19.35,0.09,-0.1,0.05,-0.19,0.05,"CfA3,Gan10",,2.0,196.98025,34.085138888888885,0.035,0.001,17.511,0.076,-2.017,0.7070000000000001,0.25,0.048,36.125,0.239
2002aw,0.0265,52324.4,0.9,"B,M,SA,SN",1.05,0.06,B,-19.38,0.08,-0.12,0.06,-0.06,0.06,Gan10,,3.0,249.37108333333333,40.88063888888889,,,,,,,,,,
2002bf,0.0244,52337.4,1.1,"B,M,SA",1.12,0.08,B,-19.34,0.09,-0.09,0.07,-0.05,0.07,"CfA3,Jha07",,13.0,153.92629166666666,55.668527777777776,0.025,0.001,16.305,0.04,-0.389,0.18899999999999997,0.228,0.025,35.143,0.209
2002bo,0.0043,52356.7,0.7,"B,M,SA",1.08,0.04,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Jha07",,36.0,154.52712499999996,21.82825,,,,,,,,,,
2002cd,0.0104,52383.2,0.4,"B,M,SA,SN",0.84,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Gan10",,15.0,305.89341666666667,58.3465,,,,,,,,,,
2002cf,0.0154,52384.8,0.3,"B,M",1.78,0.11,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,1.0,193.63041666666663,-6.8568888888888875,,,,,,,,,,
2002ck,0.0298,52397.0,0.6,"B,SA",1.08,0.09,B,-19.43,0.08,-0.1,0.06,-0.08,0.06,CfA3,,8.0,236.75312499999995,-0.9904166666666666,0.03,0.001,16.289,0.015,-0.10099999999999999,0.122,-0.018000000000000002,0.015,35.764,0.188
