SNIa_uni,z_uni,m_b_uni,m_b_err_uni,s_uni,s_err_uni,c_uni,c_err_uni,mu_uni,mu_err_uni
2002kf,0.0195,15.62,0.12,-1.35,0.19,0.00,0.02,34.76,0.2
2003cg,0.0053,15.64,0.41,-0.63,0.13,1.16,0.01,32.03,0.44
2003ch,0.0256,16.66,0.09,-1.62,0.30,0.04,0.02,35.68,0.19
2003cq,0.0337,17.20,0.08,-0.98,0.25,0.22,0.04,35.84,0.18
2003du,0.0067,13.42,0.32,0.03,0.12,-0.04,0.02,32.83,0.36
2003fa,0.0058,16.68,0.38,1.46,0.19,0.08,0.02,35.98,0.41
2003ic,0.0546,17.64,0.05,-2.32,0.36,0.03,0.03,36.61,0.18
2003it,0.024,16.32,0.10,-1.82,0.37,0.10,0.03,35.18,0.2
2003iv,0.0336,16.95,0.08,-2.28,0.45,-0.01,0.03,36.01,0.19
2003kc,0.0341,17.11,0.08,-1.26,0.27,0.17,0.03,35.84,0.18
2003kf,0.0077,13.22,0.29,0.26,0.12,-0.01,0.01,32.58,0.33
2003u,0.0261,16.46,0.09,-2.60,0.57,0.04,0.04,35.36,0.19
2003w,0.0211,15.84,0.10,-0.25,0.11,0.19,0.01,34.66,0.19
2004as,0.0321,16.96,0.07,0.01,0.22,0.15,0.02,35.90,0.17
2004bg,0.0221,15.46,0.10,0.35,0.18,-0.04,0.02,34.92,0.19
2004fu,0.0087,14.25,0.27,-1.36,0.35,0.13,0.03,33.08,0.31
2004l,0.0334,17.34,0.08,-1.04,0.26,0.26,0.03,35.88,0.18
2005cf,0.007,13.23,0.31,-0.42,0.08,0.05,0.01,32.36,0.35
2005dv,0.0106,16.23,0.21,0.99,0.77,0.76,0.02,33.78,0.28
2005eu,0.0341,16.36,0.07,0.76,0.13,-0.07,0.02,35.94,0.17
2005hf,0.0421,17.22,0.08,-2.32,0.28,-0.06,0.03,36.40,0.17
2005hj,0.0576,17.71,0.04,1.03,0.14,0.02,0.01,37.08,0.16
2005ls,0.0205,16.12,0.11,0.50,0.20,0.36,0.01,34.62,0.19
2005lz,0.0402,17.59,0.06,-1.53,0.20,0.14,0.01,36.37,0.17
2005mc,0.026,17.23,0.09,-3.10,0.27,0.32,0.02,35.38,0.18
2005ms,0.0259,16.11,0.09,0.18,0.12,0.01,0.01,35.42,0.18
2006ac,0.0239,16.14,0.09,-1.08,0.12,0.12,0.01,35.03,0.18
2006al,0.069,18.35,0.07,-1.89,0.44,-0.05,0.04,37.57,0.18
2006an,0.0651,18.00,0.04,0.31,0.21,0.01,0.01,37.31,0.16
2006ar,0.0229,16.44,0.10,-0.76,0.30,0.19,0.01,35.20,0.19
2006az,0.0315,16.44,0.07,-1.65,0.09,-0.04,0.01,35.65,0.17
2006bq,0.0215,16.13,0.10,-1.63,0.13,0.13,0.01,34.93,0.19
2006br,0.0255,18.89,0.09,-1.59,0.57,0.93,0.02,35.72,0.2
2006bt,0.0325,16.90,0.07,0.16,0.10,0.17,0.01,35.81,0.17
2006bu,0.0843,18.15,0.08,2.43,0.86,-0.12,0.04,38.05,0.2
2006bw,0.0308,17.41,0.08,-2.14,0.27,0.34,0.03,35.63,0.18
2006cc,0.0327,17.75,0.07,0.19,0.09,0.40,0.01,36.09,0.17
2006cf,0.0423,17.05,0.06,-0.66,0.32,-0.04,0.02,36.39,0.17
2006cj,0.0684,18.12,0.04,1.40,0.50,-0.05,0.02,37.73,0.17
2006cm,0.0153,17.88,0.14,-0.05,0.16,1.01,0.01,34.71,0.21
2006cp,0.0233,15.97,0.09,-0.07,0.11,0.16,0.01,34.88,0.18
2006cq,0.0491,17.56,0.05,0.06,0.50,0.06,0.01,36.73,0.18
2006cz,0.0425,16.98,0.06,1.25,0.48,0.21,0.03,35.93,0.2
2006ej,0.0192,15.74,0.12,-1.56,0.16,0.05,0.02,34.74,0.2
2006en,0.0308,16.74,0.08,-0.69,0.14,0.08,0.02,35.78,0.17
2006et,0.0212,15.92,0.11,0.75,0.26,0.20,0.02,34.85,0.19
2006gj,0.0277,17.63,0.09,-2.09,0.28,0.40,0.02,35.71,0.18
2006gr,0.0335,16.91,0.07,0.55,0.12,0.13,0.01,35.97,0.17
2006kf,0.0208,15.80,0.12,-2.85,0.23,-0.01,0.03,34.80,0.2
2006le,0.0173,14.73,0.16,0.63,0.08,-0.04,0.01,34.23,0.22
